sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_3|28.125|9|32|but this frequenter of the heights of air for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids he did not understand them|but this frequenture of the height of his hair for all his savage values was troublingly leaping waves in the tossing foam of these mad rapids he did not understand them|3.847|3.7279|3.9479|4.199|3.2641|3.5162|4.0393|3.5425|3.5424|3.8735|4.1595|4.1871|3.5107|4.1507|3.1484|3.3516|3.6305|3.6448|3.6304|4.0146|4.2038|4.1318|3.4868|3.9736|4.2394|4.3023|3.3625|4.126|3.1128|3.4101|3.6717|3.7033|3.526|4.0018|3.9886|4.1871|4.438|4.558|5.426|5.43|0.754|0.79|1.533|1.395|3.125|6.25|but this frequenter of the heights of an air for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids he did not understand them|but this frequenter of the heights of an error for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids he did not understand them|1|2|32|32|4.458|4.632|1.244|1.257|0.902|0.899|2.414|2.44
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_4|28.5714|4|14|the hawk alighted on the dead branch and sat upright motionless as if surprised|the hawk alighted the branch upright motionless as if surprised|3.3743|3.4962|3.9433|3.7247|3.1188|3.5136|3.7709|3.6895|3.3805|3.6285|3.9528|4.0208|3.5002|3.9114|3.0436|3.2026|3.5189|3.5564|3.6232|3.8836|3.9401|3.9875|3.1329|3.5692|3.8236|3.9394|3.1706|3.9436|2.8766|3.1654|3.4456|3.5114|3.3823|3.9021|3.7727|3.7917|3.993|4.131|5.839|5.81|0.689|0.698|1.486|1.35|7.143|14.286|the hawk alighted on the dead branch and sang upright motionless as if surprised|the hawk alighted on the dead branch and sang it upright motionless as if surprised|1|2|14|14|4.158|4.205|1.377|1.46|0.845|0.834|2.179|2.176
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_8|0.0|0|8|now the object of this soliloquy is plain|now the object of this soliloquy is plain|3.0438|3.3942|3.6736|3.9579|3.0519|3.3563|3.9092|3.3306|3.171|3.0861|3.8071|3.4768|3.3499|3.6356|2.9027|2.844|3.436|3.2343|3.5153|3.7097|3.5698|3.7465|3.3613|3.0923|3.9004|3.4727|3.5662|3.6599|3.0308|2.8483|3.4895|3.2318|3.6672|3.726|3.4614|3.6205|3.749|3.445|4.732|4.742|0.746|0.772|1.817|1.555|0.0|0.0|now the object of this soliloquy is plain|now the object of this soliloquy is plain|0|0|8|8|3.914|3.779|1.105|1.133|0.896|0.888|2.374|2.553
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_2|19.0476|4|21|but suppose you said i am fond of writing my people always say my letters home are good enough for punch|but suppose you say i am fond of writing people always say my own are good enough for punch|3.167|3.4042|3.641|3.9673|3.0592|3.3371|3.9155|3.5308|3.5866|3.7162|3.9852|4.085|3.8266|3.9183|3.1764|3.2569|3.5369|3.5911|3.8335|3.8876|3.6737|3.7045|3.861|3.7712|4.1804|4.1991|4.0931|3.8288|3.3442|3.2904|3.6413|3.651|3.9845|3.8348|3.5732|3.6407|3.738|3.735|6.739|6.778|0.668|0.687|1.329|1.269|9.524|9.524|but suppose you said i am fond of writing my apple always say my dlechshang home are good enough for punch|but suppose you said i am fond of writing my apple always say my tuxing home are good enough for punch|2|2|21|21|3.784|3.882|2.062|2.119|0.773|0.771|1.647|1.61
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_6|12.5|1|8|but even the unsuccessful dramatist has his moments|but even the unsuccessful has his moments|3.843|3.8463|4.0034|4.4678|3.3353|3.5468|4.1648|3.46|3.4809|3.3796|4.3162|4.084|3.2052|3.2746|3.1089|3.0428|3.7102|3.5905|3.408|3.4606|3.6216|3.7401|3.4281|3.3594|4.2962|4.0396|3.1623|3.2827|3.0747|3.0295|3.7003|3.5666|3.3756|3.4671|3.8614|3.7431|3.909|4.056|6.259|6.273|0.737|0.757|1.565|1.489|0.0|0.0|but even the unsuccessful dramatist has his moments|but even the unsuccessful dramatist has his moments|0|0|8|8|3.758|3.441|1.533|1.549|0.807|0.806|2.096|2.263
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_9|27.2727|6|22|in novels the hero has often pushed his meals away untasted but no stage hero would do anything so unnatural as this|in novels the hero often pushed his meal untasted but no speed hero would do anything as natural as this|2.7122|3.4403|3.7001|3.9753|3.0826|3.3727|3.9193|3.7389|3.3214|3.0891|3.9087|3.7687|3.4273|3.2772|3.0041|2.846|3.4942|3.4135|3.5697|3.4626|4.1483|4.1182|3.4027|3.2437|4.0023|3.9647|3.4703|3.3454|3.058|2.9523|3.5463|3.5254|3.6015|3.5134|4.1772|4.1842|4.091|4.066|6.322|6.275|0.695|0.742|1.254|1.205|4.545|4.545|in novels the hero has often pushed his meals away untasted but no sage hero would do anything so unnatural as this|in novels the hero has often pushed his meals away untasted but no sage hero would do anything so unnatural as this|1|1|22|22|4.085|4.14|1.657|1.69|0.828|0.825|1.779|1.791
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_5|26.6667|8|30|a stage meal is popular because it proves to the audience that the actors even when called charles hawtrey or owen nares are real people just like you and me|a stage meal is popular because it is important to the audience that the actors such as one called charles holt or awakeners are real people just like you and me|2.7101|3.8066|4.011|4.3243|3.3117|3.5511|4.1003|3.9613|4.0151|4.0482|4.2219|4.2001|4.3645|4.5196|3.4339|3.4528|3.6628|3.6515|4.119|4.1871|4.3303|4.1312|3.8239|3.8346|4.0755|4.0873|4.1951|4.1791|3.3221|3.3285|3.586|3.5923|4.0373|4.0292|4.1259|4.0519|4.285|4.181|6.705|6.729|0.642|0.665|1.283|1.227|16.667|16.667|a stage meal is popular because it is from the audience that the actors even one called charles hultoring or owen ayers are real people just like you and me|a stage meal is popular because it is from the audience that the actors even one called charles holtree or owen denares are real people just like you and me|5|5|30|30|3.692|3.805|1.932|1.968|0.838|0.842|1.551|1.565
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_0|30.0|6|20|but suddenly straight and swift as a diving cormorant he shot down into the torrent and disappeared beneath the surface|but suddenly swift as a shaving corn he shone into the torrent and disappeared beneath the surface|1.6439|3.7855|3.9121|4.5335|3.2989|3.4961|4.1926|3.6533|3.9584|3.9506|4.2581|4.245|4.2088|4.2681|3.401|3.3966|3.681|3.6745|4.043|4.0725|4.1077|3.9512|3.9054|3.7634|4.2058|4.1127|4.1971|4.0664|3.3702|3.2855|3.6544|3.6057|4.0377|3.969|3.9413|3.8805|4.65|4.554|8.387|8.425|0.464|0.486|1.117|1.123|0.0|0.0|but suddenly straight and swift as a diving cormorant he shot down into the torrent and disappeared beneath the surface|but suddenly straight and swift as a diving cormorant he shot down into the torrent and disappeared beneath the surface|0|0|20|20|4.603|4.535|1.952|2.02|0.819|0.813|1.498|1.455
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/gap-as-train_cp=76000_mel_text=True_withoutLM_phoneme-with-space/w1=2_w2=0.8_asr_start=320_mask=True/sample_7|30.7692|4|13|the duchess of southbridge to lord reggie 0 reggie what did you say|the duchess of southridge to the clergy 0 what did you say|2.6307|3.7202|4.0245|4.1594|3.2583|3.5575|4.0158|3.3103|4.0759|3.8929|4.3337|4.1642|4.3689|4.2377|3.4684|3.3629|3.7189|3.6328|4.1208|4.0581|3.9683|3.9058|3.9328|3.7998|4.2326|4.0575|4.2218|4.2073|3.3863|3.3075|3.6681|3.5762|4.0505|4.0431|3.8834|3.7486|4.235|4.484|5.765|5.723|0.627|0.663|1.252|1.193|30.769|30.769|the duchess of south auge to lord regi 0 regi what did you say|the duchess of south auge to lord regie 0 regie what did you say|4|4|13|13|4.277|4.526|1.426|1.487|0.803|0.801|1.661|1.655
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=25_skip=150_cp=112000_mel_text=True_ASR/w1=1_w2=0.7_asr_start=270_mask=True/sample_1885|6.4516|2|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|3.2348|3.5638|3.9331|4.0017|3.1619|3.5079|3.9348|3.6528|3.4608|3.2715|4.0267|3.9371|3.5682|3.3915|3.096|2.9711|3.5596|3.5102|3.6693|3.5469|4.0358|3.9322|3.1882|3.2095|4.026|3.89|3.0593|3.2477|2.9146|2.9291|3.5593|3.4836|3.2945|3.4412|3.9769|3.9636|3.592|3.666|4.193|4.244|0.8|0.849|1.895|1.803|12.903|16.129|it was a serious crime indeed mister watson told them and tom gates bade fair to see of a lengthy term in the states prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and tom gates bade fair to say of a lengthy term in the states treason as a consequence of his rash act|4|5|31|31|3.534|3.656|0.954|1.021|0.932|0.935|2.669|2.684
